Text,Accident Cause
নরসিংদীর মাধবদীতে ট্রাক ও পিকআপভ্যানের মুখোমুখি সংঘর্ষে দুইজন নিহত হয়েছেন। বুধবার (২২ মে ২০১৯) সকাল ১০টার দিকে ঢাকা-সিলেট মহাসড়কের মাধবদীর বাংলাদেশ তাঁত বস্ত্র প্রক্রিয়াকরণ কেন্দ্রের সামনে এ দুর্ঘটনা ঘটে।,TRAFFIC
রাজশাহীর পুঠিয়া উপজেলায় যাত্রীবাহী বাসের ধাক্কায় আব্দুর রহমান (৮৫) নামের এক বৃদ্ধের মৃত্যু হয়েছে। মঙ্গলবার (২১ মে ২০১৯) সকালে ‍উপজেলার শিবপুর হাট সংলগ্ন ঢাকা-রাজশাহী মহাসড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
রাজধানীর আসাদগেট এলাকায় আড়ংয়ের সামনে পণ্যবাহী ট্রাকের চাপায় অজ্ঞাতপরিচয় মোটরসাইকেলের এক আরোহী (৩৫) নিহত হয়েছেন। রোববার (২০ মে ২০১৯) দিনগত রাত ১২টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
কুমিল্লার দেবিদ্বার উপজেলার পান্নারপুল এলাকায় ট্রাক ও সিএনজিচালিত অটোরিকশার মুখোমুখি সংঘর্ষে শুভাস চন্দ্র দেব নাথ (৫৫) নামে এক ব্যক্তি নিহত হয়েছেন। শনিবার (১৮ মে ২০১৯) বিকেলে কুমিল্লা-সিলেট মহাসড়কে এ দুঘর্টনা ঘটে।,TRAFFIC
বরিশালের গৌরনদী উপজেলায় ট্রলি চাপায় নিলাদ্রী মজুমদার (৬) নামে এক স্কুলছাত্র নিহত হয়েছে। শনিবার (১৮ মে ২০১৯) সন্ধ্যায় উপজেলার মাহিলাড়া এ এন মাধ্যমিক বিদ্যালয় মাঠে এ দুর্ঘটনা ঘটে।,TRAFFIC
সাভারে জাহাঙ্গীরনগর বিশ্ববিদ্যালয়ের মূল ফটকের সামনে বাসের ধাক্কায় অজ্ঞাতপরিচয়ের এক বৃদ্ধ (৬০) নিহত হয়েছেন। শনিবার (১৮ মে ২০১৯) দিবাগত রাত ১০ টার দিকে ঢাকা-আরিচা মহাসড়কে এ ঘটনা ঘটে।,TRAFFIC
খুলনায় সড়ক দুর্ঘটনায় গুরুতর আহত মাদ্রাসার শিক্ষার্থী মাহিন আলম চিকিৎসাধীন অবস্থায় মারা গেছে। শুক্রবার (১৭ মে ২০১৯) দিনগত আড়াইটার দিকে খুলনা মেডিকেল কলেজ হাসপাতালের আইসিইউতে তার মৃত্যু হয়।,TRAFFIC
ভারতের উত্তর প্রদেশের লখনউ-আগ্রা মহাসড়কে বাস ও ট্রাক্টর ট্রলির সংঘর্ষে পাঁচজন নিহত হয়েছেন। এতে আহত হয়েছেন অন্তত ৩০ জন। শনিবার (১৮ মে ২০১৯) সকালে দুর্ঘটনাটি ঘটে বলে জানিয়েছে ভারতীয় সংবাদমাধ্যম।,TRAFFIC
টাঙ্গাইলের মির্জাপুর উপজেলায় কভার্ড ভ্যানের চাপায় এক মা নিহত হয়েছেন; এ দুর্ঘটনায় আহত হয়েছে তার শিশুমেয়ে। বৃহস্পতিবার (১৬ মে ২০১৯) বেলা ১১টার দিকে উপজেলা পাকুল্যা বাসস্ট্যান্ড এলাকায় ঢাকা-টাঙ্গাইল মহাসড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
মাদারীপুরে ট্রাকচাপায় নিহত ১। বৃহস্পতিবার (১৬ মে ২০১৯) বিকেল ৪টার দিকে শহরের পানিছত্র এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
নারায়ণগঞ্জের বন্দর উপজেলায় মাইক্রোবাসের ধাক্কায় আলী হোসেন (৫৫) নামের ভ্যানচালক নিহত হয়েছেন। বৃহস্পতিবার (১৬ মে ২০১৯) বন্দরের ঢাকা-চট্টগ্রাম মহাসড়কের লাঙ্গলবন্দ এলাকায় একটি পেট্রোল পাম্পের সামনে এ দুর্ঘটনা ঘটে।,TRAFFIC
রাজধানীতে মিনি পিকআপ ভ্যান ও সিএনজিচালিত অটোরিকশার মুখোমুখি সংঘর্ষে শিহাব নামে পাঁচ মাসের এক শিশু নিহত হয়েছে। এ ঘটনায় আহত হয়েছেন অটোরিকশার চালকসহ চারজন। শুক্রবার (১৭ মে) ভোরে মগবাজার-মৌচাক ফ্লাইওভারের সাত রাস্তা এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
ইটবোঝাই ট্রলির ধাক্কায়  নিহিত হন মোটরসাইকেল আরোহী রেজাউল করিম (২৮)। বুধবার (১৫ মে ২০১৯) বেলা দেড়টার দিকে রাজশাহীর বাগমারা উপজেলায় এ দুর্ঘটনা ঘটে।,TRAFFIC
সাতক্ষীরায় ট্রাক উল্টে চালকের মৃত্যু। বুধবার (১৫ মে ২০১৯) সকালে শহরের অদূরে কচরা মোড়ের কামননগর-বকচরা বাইপাস সড়কে এ দুর্ঘটনাটি ঘটে।,TRAFFIC
সাভারে মোটরসাইকেলের ধাক্কায় পথচারী নিহত। মঙ্গলবার (১৪ মে ২০১৯) এ দুর্ঘটনাটি ঘটে।,TRAFFIC
গাজীপুর সদর উপজেলায় বাসের ধাক্কায় আনোয়ার হোসেন (৩২) নামে এক বেকারি পণ্য ব্যবসায়ী নিহত হয়েছেন। বুধবার (১৫ মে ২০১৯) সকালে উপজেলার ভবানীপুর এলাকায় ঢাকা-ময়মনসিংহ মহাসড়কের এ দুর্ঘটনা ঘটে।,TRAFFIC
নওগাঁ শহরের বাইপাস সড়কে চাঁদা আদায়ের সময় পণ্যবাহী ট্রাকের ধাক্কায় পলাশ হোসেন (৩৬) নামে এক পরিবহন শ্রমিক নিহত হয়েছেন। মঙ্গলবার (১৪ মে ২০১৯) বিকেল ৩টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
নেত্রকোণা সদর উপজেলার সাকুয়া বাজার এলাকায় মামুন-অর রশিদ (৩৫) নামে এক যুবক যাত্রীবাহী বাসের চাপায় নিহত হয়েছেন। রোববার (১২ মে ২০১৯) দিনগত রাতে নেত্রকোণা-ময়মনসিংহ সড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
বন্দরে গাড়ী চাপায় আলী আজগর (৪০) নামে এক শ্রমিক নিহত হয়েছেন। রোববার (১২ মে ২০১৯) এ দুর্ঘটনা ঘটে।,TRAFFIC
মৌলভীবাজারে বাসের ধাক্কায় মমতা বেগম (৫০) নামে সিএনজিচালিত অটোরিকশার এক যাত্রী নিহত হয়েছেন। রোববার (১২ মে ২০১৯) দুপুরে মৌলভীবাজার-শ্রীমঙ্গল আঞ্চলিক মহাসড়কের নিতেশ্বর এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
মাগুরায় সড়ক দুর্ঘটনায় ফরিদ হোসেন (২৫) নামে এক ট্রাকের হেলপার নিহত ও ট্রাকচালক রুবেল হোসেন (৩০) গুরুতর আহত হয়েছেন। শুক্রবার (১০ মে ২০১৯) দিনগত রাতে ঢাকা-যশোর রোডের শতখালী এলকায় এ সড়ক দুর্ঘটনা ঘটে।,TRAFFIC
২ ট্রাকের সংঘর্ষে চালকের হাত বিছিন্ন। বৃহস্পতিবার (৯ মে ২০১৯) দিবাগত রাত পৌনে দুইটার দিকে এ সড়ক দুর্ঘটনা ঘটে।,TRAFFIC
ময়মনসিংহে ট্রাকের ধাক্কায় অটোচালক নিহত। শুক্রবার (১০ মে ২০১৯)সকালে নান্দাইল পৌরসভার পাঁচপাড়া গ্রামে এ দুর্ঘটনা ঘটে।,TRAFFIC
সিরাজগঞ্জের উল্লাপাড়ায় পিকআপভ্যানের চাপায় রায়হান আলী (৩২) নামে এক পথচারী নিহত হয়েছেন। শুক্রবার (১০ মে ২০১৯) সকালে বঙ্গবন্ধু সেতু পশ্চিম-হাটিকুমরুল গোলচত্বর মহাসড়কের পাঁচলিয়া এলাকায় এ দুর্ঘটনা ঘটে। ,TRAFFIC
বান্দরবানে লামা উপজেলায় ট্রাক ও অটোরিকশার মুখোমুখি সংঘর্ষে তিনজন নিহত। বুধবার(৮ মে ২০১৯)বিকালে ফাঁসিয়াখালী ইউনিয়নে ডুলাহাজরা-সাপেরগারা সড়কে এ দুর্ঘটনাটি ঘটে।,TRAFFIC
রাজধানীর মিরপুর পাইকপাড়া স্টাফ কোয়ার্টার এলাকায় বাসচাপায় আলিফ (৮) নামে এক শিশুর মৃত্যু হয়েছে। বুধবার (০৮ মে ২০১৯) দিনগত রাত ৯টার দিকে দুর্ঘটনাটি ঘটে।,TRAFFIC
সাভারের আশুলিয়ায় জিরাবো ডাক্তারবাড়ি এলাকায় বাসচাপায় অজ্ঞাতপরিচয়ে (২৫) এক মোটরসাইকেল আরোহী নিহত হয়েছেন। বুধবার (৮ মে ২০১৯) বেলা ১২টার দিকে টঙ্গী-আশুলিয়া-ইপিজেড সড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
নীলফামারীর ডোমার উপজেলার দিগন্তপাড়া এলাকায় ব্যাটারিচালিত ইজিবাইকের ধাক্কায় মুরাদ (৩) নামে একটি শিশুর মৃত্যু হয়েছে। মঙ্গলবার (৭ মে ২০১৯) সকালে চিলাহাটি-ভাউলাগঞ্জ সড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
মুন্সিগঞ্জের লৌহজং উপজেলায় প্রাইভেটকার চাপায় মা-মেয়ে নিহত হয়েছেন। সোমবার (০৬ মে ২০১৯) সকাল সাড়ে ১০টার দিকে মাওয়া-কবুতরখোলা সড়কে পদ্মাসেতুর উপজেলার যশলদিয়া এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
গোপালগঞ্জে সড়ক দুর্ঘটনায় শেখ মেজবাহ উদ্দিন (৩৮) নামে এক ব্যবসায়ী নিহত হয়েছেন। রোববার (০৫ মে ২০১৯) সকাল ১০টার দিকে ঢাকা-খুলনা মহাসড়কের কাশিয়ানী উপজেলার তিলছড়া এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
রাজধানীর বিমানবন্দর এলাকায় বাসের ধাক্কায় মোজাম্মেল হক (৪৮) নামের এক মোটরসাইকেল আরোহী নিহত হয়েছেন। রোববার (০৫ মে ২০১৯) সকাল ১০টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
মিশরের দক্ষিণাঞ্চলে সড়ক দুর্ঘটনায় স ছয়জন নিহত হয়েছেন বলে জানিয়েছে দেশটির কর্তৃপক্ষ।শুক্রবার (৩ মে ২০১৯) এ তথ্য জানিয়েছে আন্তর্জাতিক সংবাদমাধ্যম।,TRAFFIC
বাগেরহাটের ফকিরহাটের টাউন নওয়াপাড়া এলাকায় একটি যাত্রীবাহী বাসের ধাক্কায় দুই জন নিহত হয়েছেন।,TRAFFIC
কক্সবাজারের চকরিয়া উপজেলায় যাত্রীবাহী বাসের সঙ্গে কাভার্ডভ্যানের সংঘর্ষে মো. ফরমান (৩২) নামে এক ব্যক্তি নিহত হয়েছেন। বৃহস্পতিবার (২ মে) দুপুরে কক্সবাজার-চট্টগ্রাম মহাসড়কের চকরিয়ার ডুলাহাজারা ইউনিয়নের রিংভং ছগিরশাহ কাটা এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
সৌদি আরবের রিয়াদে সড়ক দুর্ঘটনায় কমপক্ষে ১০ বাংলাদেশির মৃত্যু হয়েছে। স্থানীয় সময় বৃহস্পতিবার (০২ মে ২০১৯) বিকেলে এ দুর্ঘটনা ঘটে।,TRAFFIC
বোয়ালখালীর কধুরখীল এলাকায় দুই সিএনজি চালিত অটোরিকশার মুখোমুখি সংঘর্ষে আহত রমিতা দাশ (৩৭) মারা গেছেন। বুধবার সন্ধ্যায় (০১ মে ২০১৯) এ দুর্ঘটনা ঘটে।,TRAFFIC
যশোরের শার্শায় মোটরসাইকেল দুর্ঘটনায় চালক হাসান আলী (২০) নিহত হয়েছেন। বুধবার (১ মে ২০১৯) রাত নয়টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
রাজশাহীর বাঘা উপজেলার মীরগঞ্জ বাজার এলাকায় বাস ও নসিমনের সংঘর্ষে বাস উল্টে হেলপার ও দু’জন নারীসহ মোট তিনজন নিহত হয়েছেন। বৃহস্পতিবার (০২ মে ২০১৯) ভোর সাড়ে ছয়টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
লক্ষ্মীপুরে ট্রাকচাপায় দুখু মিয়া নামে সিএনজিচালিত এক অটোরিকশাচালক নিহত হয়েছেন। বৃহস্পতিবার (২ মে ২০১৯) সকালে জেলা শহরের উত্তর তেমুহনী এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
সাভার উলাইলের কর্ণপাড়া এলাকায় বাসচাপায় নূরজাহান (২৭) নামে এক নারী পথচারী নিহত হয়েছেন। বৃহস্পতিবার (২ মে ২০১৯) সকাল সাড়ে ৮টার দিকে ঢাকা-আরিচা মহাসড়কে এ দুর্ঘটনা ঘটে। ,TRAFFIC
